run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x4_cifar100_K4_dml_seed0001_d001,d001,resnet32:4,cifar100,4,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,1880016,0,0.1,3,62.78,0.06470000000000001,0.011861070777969416,0.0485,0.0765,0.0749,0.010199999999999987,0.06365,0.0774,0.7081666666666666,0.44686273207985866,0.7080333333333333,0.42460870239293075,0.06470000000000001,resnet32,0.0756,0.0684,4.519375883042812,4.42473153532906,0.09464434594635597,resnet32,0.0485,0.045,4.51543405381116,4.429817774079063,0.08561628760203761,resnet32,0.0582,0.062,4.592659511349418,4.506713118065488,0.08594639230630657,resnet32,0.0765,0.0792,4.52180316536264,4.445380740883675,0.07642242029661164,13500000.0,0.0,54000000.0,54000000.0,216000000.0
resnet32x4_cifar100_K4_dml_seed0001_d001,d001,resnet32:4,cifar100,4,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,1880016,1,0.1,3,61.03,0.130125,0.009173433108711257,0.116,0.1415,0.1369,0.006775000000000003,0.128,0.1342,0.4819,0.6440644394594511,0.4861,0.6267075506043615,0.130125,resnet32,0.1329,0.1284,3.859768009998582,3.778909870508042,0.08085814001969993,resnet32,0.116,0.1084,3.894293036311865,3.814845205030658,0.07944783022288572,resnet32,0.1301,0.1308,3.9429512972181495,3.85834537954493,0.08460591963640499,resnet32,0.1415,0.1444,3.8207562403245405,3.743152644823898,0.07760360088220543,13500000.0,0.0,54000000.0,108000000.0,432000000.0
resnet32x4_cifar100_K4_dml_seed0001_d001,d001,resnet32:4,cifar100,4,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,1880016,2,0.1,3,63.88,0.19095,0.014491808030746189,0.171,0.2108,0.2132,0.022249999999999992,0.18685,0.2068,0.5767333333333332,0.5814537354056469,0.5926833333333333,0.5735115259929808,0.19095,resnet32,0.171,0.1694,3.4240563335743817,3.311341556974433,0.1127147796902467,resnet32,0.2108,0.2032,3.42145340483297,3.31280095604333,0.1086524467788298,resnet32,0.1861,0.185,3.4612955220720987,3.346849601715803,0.11444592428266663,resnet32,0.1959,0.1898,3.383892336690968,3.2781057347628204,0.10578660100740804,13500000.0,0.0,54000000.0,162000000.0,648000000.0
resnet32x4_cifar100_K4_dml_seed0001_d001,d001,resnet32:4,cifar100,4,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,1880016,3,0.1,3,62.64,0.24915,0.0057325823151525655,0.2433,0.2577,0.273,0.02385000000000001,0.248,0.27,0.5005,0.6208588072851855,0.5016333333333334,0.6295076364518942,0.24915,resnet32,0.2433,0.2444,3.102052069184455,2.9543392546474934,0.147712816611271,resnet32,0.2577,0.256,3.1002779332074253,2.9569841277870266,0.14329379854131152,resnet32,0.251,0.2454,3.1126794903115793,2.9646663438867438,0.148013147959401,resnet32,0.2446,0.2462,3.0666562847115775,2.9271546564996243,0.13950163147158243,13500000.0,0.0,54000000.0,216000000.0,864000000.0
resnet32x4_cifar100_K4_dml_seed0001_d001,d001,resnet32:4,cifar100,4,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,1880016,4,0.1,3,61.13,0.29225,0.024763834517295566,0.2554,0.3198,0.3261,0.03384999999999999,0.2812,0.315,0.5253666666666666,0.5929269742398996,0.5188333333333333,0.603515893261203,0.29225,resnet32,0.2554,0.2562,2.8701036040755836,2.696172804317691,0.17393079903823408,resnet32,0.2848,0.2726,2.8679612251845272,2.6961895220659,0.17177170525643637,resnet32,0.309,0.2914,2.8753545216538687,2.70181366564198,0.17354085235009817,resnet32,0.3198,0.3046,2.830357367003506,2.662984748455611,0.16737261632542041,13500000.0,0.0,54000000.0,270000000.0,1080000000.0
resnet32x4_cifar100_K4_dml_seed0001_d001,d001,resnet32:4,cifar100,4,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,1880016,5,0.1,3,61.5,0.328075,0.016454691580215033,0.3032,0.3459,0.3569,0.02882499999999999,0.31455,0.338,0.4612,0.6297082252356471,0.4677,0.635558482177317,0.328075,resnet32,0.3032,0.299,2.714520086618987,2.5248051290823654,0.18971495668996463,resnet32,0.3459,0.3338,2.7162042504007164,2.5267488766800272,0.1894553716781295,resnet32,0.3238,0.3064,2.726003052497452,2.5376217035068707,0.18838135070506146,resnet32,0.3394,0.319,2.6734922446987848,2.4879127561368723,0.18557948918632147,13500000.0,0.0,54000000.0,324000000.0,1296000000.0
resnet32x4_cifar100_K4_dml_seed0001_d001,d001,resnet32:4,cifar100,4,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,1880016,6,0.1,3,61.09,0.30535,0.012766068306256236,0.2861,0.3214,0.3362,0.03084999999999999,0.29935,0.3276,0.5222333333333333,0.595903848985701,0.5261833333333333,0.5939594398117973,0.30535,resnet32,0.2861,0.2838,2.607965312390165,2.3990103903819215,0.2089549216484143,resnet32,0.31,0.2952,2.6071153002029117,2.3988235110247675,0.20829179029996422,resnet32,0.3039,0.2964,2.611953483725136,2.4040794072842058,0.20787407453595239,resnet32,0.3214,0.322,2.566935053772547,2.3615177856250242,0.20541726861318405,13500000.0,0.0,54000000.0,378000000.0,1512000000.0
resnet32x4_cifar100_K4_dml_seed0001_d001,d001,resnet32:4,cifar100,4,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,1880016,7,0.1,3,61.16,0.36905,0.008694969810183365,0.3559,0.3798,0.4009,0.03184999999999999,0.3526,0.3856,0.47679999999999995,0.6258928234351955,0.46541666666666665,0.6324778068843715,0.36905,resnet32,0.3559,0.3394,2.521688113497062,2.297491155903448,0.22419695401648906,resnet32,0.3679,0.354,2.51484092917632,2.2933330928737465,0.22150783319110898,resnet32,0.3726,0.358,2.512553783980283,2.291073116050525,0.2214806663634425,resnet32,0.3798,0.359,2.479658718474887,2.2618985050781206,0.2177602114071223,13500000.0,0.0,54000000.0,432000000.0,1728000000.0
resnet32x4_cifar100_K4_dml_seed0001_d001,d001,resnet32:4,cifar100,4,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,1880016,8,0.1,3,61.19,0.35520000000000007,0.02166010156947561,0.3234,0.3794,0.3874,0.03219999999999995,0.34740000000000004,0.3806,0.4833666666666667,0.6102832670440443,0.4836,0.6120701802761292,0.35520000000000007,resnet32,0.3234,0.324,2.444606663320552,2.2091440043666144,0.2354626615150747,resnet32,0.3794,0.3694,2.44019677862525,2.2061691749840975,0.23402760169384154,resnet32,0.3478,0.3422,2.443392092700709,2.2116650195622984,0.23172707176259297,resnet32,0.3702,0.354,2.4102889472110705,2.1807138699699533,0.22957507664845747,13500000.0,0.0,54000000.0,486000000.0,1944000000.0
resnet32x4_cifar100_K4_dml_seed0001_d001,d001,resnet32:4,cifar100,4,dml,dml,peers,1,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,1880016,9,0.1,3,61.22,0.35447500000000004,0.016336672702848633,0.3284,0.3706,0.3939,0.03942499999999993,0.3509,0.3892,0.4765333333333333,0.5973095617077383,0.47186666666666666,0.6069548287716655,0.35447500000000004,resnet32,0.3284,0.3214,2.3832852720198305,2.1394331600855696,0.24385210988111794,resnet32,0.3706,0.373,2.3879300738600167,2.14517000249841,0.2427600667049939,resnet32,0.3657,0.3628,2.380327661437067,2.137643408707597,0.2426842536819591,resnet32,0.3532,0.3464,2.3626248606226663,2.12443649480966,0.23818837030028756,13500000.0,0.0,54000000.0,540000000.0,2160000000.0
