run_id,run_tag,cohort,dataset,K,arm,arm_label,target,comm_on,comm_block,kd_scale,comm_accounting,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,comm_duty,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x12_cifar100_K12_dmle-t6of11_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11,ensemble,6,11,1.0,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,0,0.1,11,0.545455,141.87,0.062066666666666666,0.020897461302485737,0.0339,0.1123,0.0824,0.020333333333333335,0.06179999999999999,0.0808,0.7163969696969699,0.4194431526971741,0.7205257575757577,0.3956865042475009,0.062066666666666666,resnet32,0.0551,0.0576,4.5211503773250366,4.469589517536488,0.051560859301720156,resnet32,0.0437,0.0444,4.5979608984833416,4.534063702279871,0.06389719707790804,resnet32,0.0669,0.0606,4.427338239144195,4.38294373147867,0.0443945091167486,resnet32,0.063,0.0612,4.487721709703857,4.43962002647194,0.04810168633345959,resnet32,0.0584,0.0566,4.467436747117476,4.418964151631702,0.048472593719039156,resnet32,0.0604,0.0658,4.435101382095706,4.382557522844184,0.05254385601173536,resnet32,0.0934,0.0918,4.2891764085401185,4.21678688512607,0.07238952686417509,resnet32,0.0479,0.0556,4.519831578501246,4.458309070630507,0.06152251162381039,resnet32,0.0652,0.0634,4.3930669691074975,4.342765285887501,0.050301677895318295,resnet32,0.0339,0.0346,4.590918868780136,4.514873110435226,0.07604576317350041,resnet32,0.0446,0.0418,4.522620701315728,4.47316327420148,0.049457423157450234,resnet32,0.1123,0.1082,4.280031845989552,4.202023217285221,0.07800862462979487,4495333.333333333,0.0,17981333.333333332,17981333.333333332,215776000.0
resnet32x12_cifar100_K12_dmle-t6of11_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11,ensemble,6,11,1.0,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,1,0.1,11,0.545455,125.69,0.126275,0.026775241206507677,0.091,0.1687,0.1462,0.019925,0.11956666666666667,0.1404,0.6444484848484848,0.48096505788625143,0.6414666666666667,0.4942303803009911,0.126275,resnet32,0.1277,0.123,3.839201812039722,3.799346775155176,0.03985504100141539,resnet32,0.1061,0.0944,3.905580434609543,3.8643448393453252,0.04123559277187186,resnet32,0.1388,0.1308,3.7463612993332474,3.7109219418330626,0.03543935599736869,resnet32,0.1399,0.1278,3.7868063744496214,3.752244646576318,0.034561727317685094,resnet32,0.0961,0.1002,3.842101951891726,3.8071226213466036,0.034979331809815696,resnet32,0.1465,0.1412,3.769440831108527,3.7306857261468065,0.038755104443143035,resnet32,0.1687,0.1638,3.614924433217807,3.5488156418908727,0.06610879049086096,resnet32,0.091,0.0848,3.9407184191725473,3.8930244317108933,0.0476939919330603,resnet32,0.1414,0.13,3.777669055556709,3.7418204945596782,0.03584856013449925,resnet32,0.1021,0.096,3.9761960943314163,3.918565298007293,0.057630798377265986,resnet32,0.092,0.0808,3.9023730511015113,3.861476893452081,0.04089615592965856,resnet32,0.165,0.162,3.5897385108877313,3.5145763145251707,0.07516219733621586,4495333.333333333,0.0,17981333.333333332,35962666.666666664,431552000.0
resnet32x12_cifar100_K12_dmle-t6of11_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11,ensemble,6,11,1.0,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,2,0.1,11,0.545455,125.89,0.17200833333333335,0.019168787926093698,0.1431,0.2006,0.2071,0.03509166666666666,0.17,0.2056,0.6160939393939394,0.5260737725157915,0.6244363636363636,0.5159308033795799,0.17200833333333335,resnet32,0.168,0.166,3.3663955737244,3.312836890193549,0.053558679424564944,resnet32,0.1547,0.1582,3.4689296541566197,3.4136473519558255,0.055282300846143204,resnet32,0.1952,0.1888,3.309325858611952,3.2592827237465163,0.0500431375535713,resnet32,0.1599,0.1568,3.3627999787303535,3.310659225352786,0.052140752456828275,resnet32,0.1447,0.149,3.419561390511014,3.3674298196353694,0.0521315720397979,resnet32,0.1916,0.1938,3.3912428634410556,3.3331470472568814,0.05809581993063065,resnet32,0.1939,0.1874,3.2284984700381756,3.1613966544920746,0.06710181471002712,resnet32,0.1709,0.1702,3.5439240458336743,3.474296160042286,0.06962788705079054,resnet32,0.1792,0.1738,3.3649174608290195,3.312833981757814,0.05208348143126138,resnet32,0.1431,0.1412,3.496230112219399,3.432949760420756,0.06328034870834513,resnet32,0.1623,0.16,3.4247190728783607,3.3714039210568774,0.053315154001624745,resnet32,0.2006,0.1948,3.220462634482167,3.1493257961489936,0.07113683546512303,4495333.333333333,0.0,17981333.333333332,53944000.0,647328000.0
resnet32x12_cifar100_K12_dmle-t6of11_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11,ensemble,6,11,1.0,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,3,0.1,11,0.545455,125.27,0.22928333333333337,0.025694384384314192,0.1829,0.2745,0.2754,0.04611666666666661,0.2247,0.2706,0.5973545454545456,0.5442425795489196,0.5951181818181817,0.5563828579369663,0.22928333333333337,resnet32,0.1829,0.1808,3.0324090641330588,2.9650255404412746,0.06738352248529819,resnet32,0.215,0.2118,3.055048750882799,2.9900574399666353,0.06499131037641993,resnet32,0.2484,0.2454,2.9649582423947076,2.901406528597528,0.06355171264360913,resnet32,0.2575,0.2448,3.035513849082318,2.967355199835517,0.06815865070728416,resnet32,0.2343,0.2314,3.039083124900406,2.973031286150217,0.06605183753311973,resnet32,0.1941,0.1946,3.1117459024217995,3.0325953276319937,0.07915057379498401,resnet32,0.2243,0.2246,2.9091105240989816,2.8335309898988768,0.07557953245387497,resnet32,0.2426,0.2328,3.1812081309882076,3.1015808785503562,0.07962725322100926,resnet32,0.2174,0.2198,3.0233442769809202,2.957486490295692,0.0658577856798233,resnet32,0.2108,0.2042,3.0971681987020103,3.0255641527473927,0.07160404446238483,resnet32,0.2496,0.2414,3.013461571186781,2.9439888041127813,0.06947276911655949,resnet32,0.2745,0.2648,2.915680614046075,2.8427297456020657,0.07295086959757927,4495333.333333333,0.0,17981333.333333332,71925333.33333333,863104000.0
resnet32x12_cifar100_K12_dmle-t6of11_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11,ensemble,6,11,1.0,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,4,0.1,11,0.545455,125.18,0.2677916666666666,0.01926436513069894,0.2321,0.3038,0.3133,0.04550833333333343,0.26538333333333336,0.312,0.5435757575757574,0.5581348548191679,0.5497757575757574,0.5533827751867022,0.2677916666666666,resnet32,0.2732,0.2696,2.7909157306633214,2.7160281762480736,0.0748875527325171,resnet32,0.3038,0.3014,2.7785485048185694,2.7030396969480948,0.07550880915104327,resnet32,0.2901,0.2902,2.7175538776950403,2.642486061900854,0.07506781704300507,resnet32,0.2668,0.2636,2.7895318540659817,2.7119612219658764,0.07757063443899494,resnet32,0.2706,0.2692,2.762862054800445,2.687501059337096,0.07536099311387674,resnet32,0.2811,0.2742,2.857076243582097,2.7694343115118416,0.08764193609187548,resnet32,0.2705,0.2638,2.68768095868555,2.606319494206797,0.08136146528307688,resnet32,0.2357,0.2378,2.8968141603876245,2.812356775457209,0.08445738567124036,resnet32,0.2655,0.2566,2.7835953560742466,2.707196583124724,0.07639877309768715,resnet32,0.2321,0.23,2.8352361592379483,2.7543007765303957,0.08093538229480725,resnet32,0.2676,0.2674,2.7385049140588804,2.655462795360522,0.08304211689921265,resnet32,0.2565,0.2608,2.68712852048603,2.6079635081643406,0.07916500928430734,4495333.333333333,0.0,17981333.333333332,89906666.66666666,1078880000.0
resnet32x12_cifar100_K12_dmle-t6of11_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11,ensemble,6,11,1.0,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,5,0.1,11,0.545455,108.82,0.27615833333333334,0.030186902743113985,0.2241,0.3355,0.323,0.04684166666666667,0.2673,0.3118,0.587578787878788,0.532912616204779,0.5863303030303031,0.5306008074521703,0.27615833333333334,resnet32,0.2886,0.2762,2.639966194941239,2.558761890977621,0.08120430465152656,resnet32,0.3355,0.3188,2.6005835103040393,2.5173826087266207,0.08320090537679127,resnet32,0.3032,0.296,2.570832019333135,2.4883718378841877,0.08246018229560419,resnet32,0.2874,0.2802,2.6311065151610156,2.545824528417804,0.08528198508164761,resnet32,0.2593,0.259,2.595737649297172,2.512168550525199,0.0835690992588008,resnet32,0.275,0.2666,2.708993859250437,2.6132520115510984,0.09574184841899709,resnet32,0.2439,0.2386,2.546356634829532,2.4599426197396084,0.08641401375643909,resnet32,0.2241,0.2204,2.729977860030803,2.639508044855161,0.09046981557780369,resnet32,0.2741,0.2642,2.6356287253173916,2.5529144365679133,0.08271428874947807,resnet32,0.2414,0.2364,2.6777628639882263,2.5924919569356875,0.08527090533805842,resnet32,0.2716,0.2598,2.575507326559587,2.4848504303531214,0.09065689898985015,resnet32,0.3098,0.2914,2.5468180084770378,2.4603982017460195,0.08641980519645255,4495333.333333333,0.0,17981333.333333332,107887999.99999999,1294655999.9999998
resnet32x12_cifar100_K12_dmle-t6of11_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11,ensemble,6,11,1.0,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,6,0.1,11,0.545455,105.29,0.33135,0.024303514834964374,0.2693,0.3576,0.3949,0.06355,0.32863333333333333,0.389,0.5536181818181819,0.5477697519345666,0.5516878787878787,0.5583280257484681,0.33135,resnet32,0.3481,0.3468,2.523809688843109,2.4355553688312117,0.08825431883716109,resnet32,0.3407,0.3408,2.475655897097154,2.384775657376105,0.09088023665191775,resnet32,0.3537,0.3488,2.4538082023235885,2.3650172276591714,0.08879097790287976,resnet32,0.3288,0.3318,2.513187502934174,2.4219171682542022,0.09127033204475249,resnet32,0.3523,0.3514,2.4712682217359543,2.3794642006131737,0.09180402228693393,resnet32,0.2693,0.273,2.5973696793344887,2.4947569783438337,0.10261270109648732,resnet32,0.3576,0.3532,2.437776593322104,2.345774344591932,0.09200224768243391,resnet32,0.3153,0.3138,2.609497980637984,2.5102318010546942,0.0992661789059639,resnet32,0.3039,0.284,2.5257458576763216,2.4355578911914066,0.09018796609333632,resnet32,0.3283,0.3188,2.5460343785922634,2.45567653040317,0.0903578494696624,resnet32,0.3322,0.3286,2.4545947022058745,2.358948901295662,0.09564579735425385,resnet32,0.346,0.3526,2.4197779585692016,2.3273793279447337,0.0923986306456341,4495333.333333333,0.0,17981333.333333332,125869333.33333331,1510431999.9999998
resnet32x12_cifar100_K12_dmle-t6of11_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11,ensemble,6,11,1.0,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,7,0.1,11,0.545455,105.24,0.282825,0.03514973032139317,0.1805,0.3205,0.3253,0.042474999999999985,0.27926666666666666,0.3228,0.5533515151515149,0.5496567000551729,0.5470409090909091,0.5584954892868165,0.282825,resnet32,0.3,0.292,2.4266080610792744,2.3326605180786415,0.09394754325463013,resnet32,0.2896,0.2878,2.375929916954853,2.280337388373234,0.09559253079351038,resnet32,0.3076,0.301,2.351058389144865,2.2570454852486197,0.09401290408674289,resnet32,0.3049,0.3084,2.4188683339479295,2.3209864934059707,0.0978818391026421,resnet32,0.3205,0.3054,2.3659114578569476,2.268435134298422,0.09747632328336212,resnet32,0.2644,0.2642,2.5024660563265737,2.3942475679584523,0.10821849173358218,resnet32,0.3112,0.3028,2.3432060761207882,2.2480874430726874,0.09511863459324972,resnet32,0.2903,0.2818,2.519365584816445,2.4099084340374577,0.10945715181614188,resnet32,0.2698,0.2646,2.431267496367747,2.337234617126259,0.09403287869116123,resnet32,0.1805,0.1814,2.4344263676215303,2.3406604255803605,0.09376593891912224,resnet32,0.2834,0.282,2.357512664557858,2.2578956559300423,0.0996170094109733,resnet32,0.2717,0.2798,2.325801133093509,2.2270482832735237,0.09875284713184969,4495333.333333333,0.0,17981333.333333332,143850666.66666666,1726208000.0
resnet32x12_cifar100_K12_dmle-t6of11_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11,ensemble,6,11,1.0,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,8,0.1,11,0.545455,105.33,0.3293916666666667,0.023583661658491937,0.2709,0.3663,0.3867,0.057308333333333294,0.32295,0.3782,0.5291545454545453,0.5705471639920847,0.5330227272727276,0.5672553030497215,0.3293916666666667,resnet32,0.3272,0.327,2.3584857728670943,2.2606467086483133,0.0978390654464337,resnet32,0.3466,0.346,2.3129639767787675,2.21346862021495,0.09949535460592332,resnet32,0.3133,0.3176,2.2890682484615934,2.1921606846153736,0.0969075603325936,resnet32,0.326,0.3234,2.352534918622537,2.2526274748485196,0.09990744368935173,resnet32,0.33,0.317,2.2981821354478598,2.19812674684958,0.10005538746587593,resnet32,0.3202,0.3104,2.425847799263217,2.31537108800628,0.11047670905562965,resnet32,0.3239,0.317,2.2795518333600326,2.1811815735630016,0.09837025969119911,resnet32,0.3283,0.317,2.4597444268451496,2.3434498958628285,0.11629452975466847,resnet32,0.3633,0.3448,2.371981367807497,2.2725534628738058,0.09942790446802974,resnet32,0.3367,0.3252,2.3647442019798537,2.2658945377916098,0.09884966384958137,resnet32,0.2709,0.271,2.295220485803756,2.19234747575088,0.1028730099258775,resnet32,0.3663,0.359,2.262351004576141,2.15992667441341,0.1024243291255764,4495333.333333333,0.0,17981333.333333332,161832000.0,1941984000.0
resnet32x12_cifar100_K12_dmle-t6of11_seed0005_d018,d018,resnet32:12,cifar100,12,dml,dmle-t6of11,ensemble,6,11,1.0,allreduce,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,5640048,9,0.1,11,0.545455,105.29,0.35201666666666664,0.02808234419623041,0.301,0.3873,0.4249,0.07288333333333336,0.34626666666666667,0.4162,0.5501272727272727,0.5351394782016593,0.5477060606060603,0.5439063237003381,0.35201666666666664,resnet32,0.3648,0.3596,2.2917688236656515,2.1909139940345828,0.10085483217103915,resnet32,0.3382,0.33,2.2496577711267904,2.147509924220768,0.10214784885333343,resnet32,0.3873,0.376,2.2299901236864654,2.128688192164356,0.10130193264392967,resnet32,0.3586,0.3464,2.29553891887719,2.190816529772498,0.1047223901418461,resnet32,0.3737,0.3576,2.2376744493164797,2.1335578113794327,0.10411663675172762,resnet32,0.3478,0.3502,2.35061721673066,2.2377808165143835,0.11283640061843801,resnet32,0.3789,0.3678,2.223687931725925,2.121434516527436,0.10225341314534572,resnet32,0.3683,0.3562,2.3775070902298796,2.2638807381418617,0.11362635024653917,resnet32,0.3024,0.2984,2.3158278057182375,2.213066517290744,0.10276128645901653,resnet32,0.3263,0.3258,2.2854455834762617,2.183987309648232,0.10145827444185587,resnet32,0.3769,0.3764,2.2306979417123576,2.1249066582796248,0.10579128250141036,resnet32,0.301,0.3108,2.205165805464441,2.101658831435171,0.10350697434676642,4495333.333333333,0.0,17981333.333333332,179813333.33333334,2157760000.0
