run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_lenet,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,model_02_arch,model_02_test_acc,model_02_val_acc,model_02_train_loss,model_02_ce_loss,model_02_kd_loss,model_03_arch,model_03_test_acc,model_03_val_acc,model_03_train_loss,model_03_ce_loss,model_03_kd_loss,model_04_arch,model_04_test_acc,model_04_val_acc,model_04_train_loss,model_04_ce_loss,model_04_kd_loss,model_05_arch,model_05_test_acc,model_05_val_acc,model_05_train_loss,model_05_ce_loss,model_05_kd_loss,model_06_arch,model_06_test_acc,model_06_val_acc,model_06_train_loss,model_06_ce_loss,model_06_kd_loss,model_07_arch,model_07_test_acc,model_07_val_acc,model_07_train_loss,model_07_ce_loss,model_07_kd_loss,model_08_arch,model_08_test_acc,model_08_val_acc,model_08_train_loss,model_08_ce_loss,model_08_kd_loss,model_09_arch,model_09_test_acc,model_09_val_acc,model_09_train_loss,model_09_ce_loss,model_09_kd_loss,model_10_arch,model_10_test_acc,model_10_val_acc,model_10_train_loss,model_10_ce_loss,model_10_kd_loss,model_11_arch,model_11_test_acc,model_11_val_acc,model_11_train_loss,model_11_ce_loss,model_11_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
lenetx12_cifar100_K12_topo-ring_seed0004_d013,d013,lenet:12,cifar100,12,topology,topo-ring,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,1089312,0,0.1,2,23.66,0.051166666666666666,0.012284633581113528,0.0167,0.0654,0.0702,0.019033333333333333,0.05068333333333333,0.0666,0.7917787878787875,0.26820018302355564,0.7939803030303028,0.2694774469831197,0.051166666666666666,lenet,0.0654,0.063,4.4282369816845115,4.305531746284529,0.1227052271043993,lenet,0.0489,0.0472,4.49606515602632,4.390190419148315,0.10587473231664096,lenet,0.0507,0.052,4.498696969314055,4.400729939341545,0.0979670245978923,lenet,0.0609,0.0566,4.416833131828091,4.315643541176211,0.1011895834308234,lenet,0.0541,0.0572,4.458559964868155,4.366151844574646,0.09240811943097717,lenet,0.0488,0.0492,4.457923877645623,4.357099611989477,0.10082426337678706,lenet,0.0615,0.0632,4.4222801415757695,4.321255008266731,0.10102512960954547,lenet,0.0605,0.06,4.449725485999476,4.341657708652995,0.108067774814117,lenet,0.0167,0.0196,4.664142859253016,4.544785549694842,0.11935731655731532,lenet,0.0495,0.0472,4.52341805737127,4.429179466583512,0.0942385842853665,lenet,0.0416,0.0406,4.452925469387662,4.361840425905856,0.09108504564011871,lenet,0.0554,0.0524,4.4926670457829125,4.380112335424531,0.11255471154568526,9000000.0,0.0,36000000.0,36000000.0,432000000.0
lenetx12_cifar100_K12_topo-ring_seed0004_d013,d013,lenet:12,cifar100,12,topology,topo-ring,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,1089312,1,0.1,2,22.27,0.06903333333333334,0.01321320887933317,0.0395,0.0871,0.0836,0.014566666666666658,0.06936666666666666,0.0842,0.7159333333333334,0.4299929883612209,0.716719696969697,0.4420950409257834,0.06903333333333334,lenet,0.0756,0.0762,4.2590456713329665,4.082696851004254,0.17634881981013512,lenet,0.0644,0.0694,4.332234014164317,4.171130479736761,0.16110353358089924,lenet,0.0816,0.0796,4.260423310778358,4.11658514528112,0.14383816714821893,lenet,0.0765,0.0754,4.233315735039386,4.093039461496201,0.1402762779987163,lenet,0.0822,0.0794,4.323775568469004,4.157609770582481,0.1661658028394661,lenet,0.0395,0.039,4.635574925352227,4.419579715213993,0.21599520756651394,lenet,0.0871,0.0918,4.272009825503284,4.1026385230096905,0.16937130294867198,lenet,0.0804,0.081,4.239443989639932,4.086511124941436,0.15293285838031973,lenet,0.0582,0.0576,4.533415069634264,4.339695281603119,0.19371978378727694,lenet,0.062,0.0618,4.32945985888893,4.159179821271788,0.17028004017827864,lenet,0.0613,0.0598,4.373081267557361,4.2057877741754055,0.16729348887350748,lenet,0.0596,0.0614,4.361640298231081,4.1814716421067715,0.18016866147941488,9000000.0,0.0,36000000.0,72000000.0,864000000.0
lenetx12_cifar100_K12_topo-ring_seed0004_d013,d013,lenet:12,cifar100,12,topology,topo-ring,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,1089312,2,0.1,2,22.5,0.07308333333333332,0.011357877833860023,0.0512,0.0859,0.0945,0.02141666666666668,0.07295,0.0936,0.7697030303030304,0.3607250205402601,0.7715924242424241,0.35990569164535685,0.07308333333333332,lenet,0.0774,0.0724,4.292593593624505,4.108338287269527,0.18425530407958748,lenet,0.0769,0.075,4.299865141172301,4.1285804049535235,0.1712847317738289,lenet,0.0717,0.068,4.200644989243963,4.033686107532545,0.16695888501337983,lenet,0.0857,0.0878,4.206154514104128,4.039502827619964,0.1666516847167672,lenet,0.0829,0.0836,4.236960141834888,4.057119792157954,0.17984034913719038,lenet,0.0689,0.0746,4.422986896877939,4.209709654816172,0.21327724208293314,lenet,0.0859,0.0862,4.209019645709883,4.021523536944931,0.18749610689172352,lenet,0.0852,0.083,4.158164189281789,4.0087312856181105,0.14943289863665335,lenet,0.0512,0.051,4.307355657219887,4.125197018750689,0.18215864105150104,lenet,0.0596,0.0624,4.266081959347833,4.075871382247318,0.1902105832281946,lenet,0.0748,0.0716,4.312643306499178,4.1290536851368165,0.18358962259001352,lenet,0.0568,0.0598,4.3382560366934,4.144004122777418,0.1942519172179428,9000000.0,0.0,36000000.0,108000000.0,1296000000.0
lenetx12_cifar100_K12_topo-ring_seed0004_d013,d013,lenet:12,cifar100,12,topology,topo-ring,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,1089312,3,0.1,2,22.58,0.08615833333333334,0.012467989568847452,0.0654,0.1049,0.1247,0.03854166666666667,0.08515,0.1164,0.7863333333333333,0.3466998861417146,0.7935378787878787,0.3459498354717519,0.08615833333333334,lenet,0.0709,0.0694,4.202937357804992,4.007132770662958,0.1958045809191059,lenet,0.0938,0.093,4.159659741615707,3.987928232008761,0.17173151049593632,lenet,0.0906,0.0886,4.133905615657568,3.9518032134933905,0.1821024032648314,lenet,0.1049,0.107,4.16687231443145,3.977210368961096,0.18966195071962746,lenet,0.0907,0.0906,4.202634841881015,3.999284715815024,0.20335012348368764,lenet,0.0654,0.0676,4.39784319258549,4.156591211530295,0.24125197633508255,lenet,0.0807,0.075,4.214177519083023,4.001857360994274,0.21232015834274617,lenet,0.1017,0.1016,4.119754331355745,3.953809090635993,0.16594523535406386,lenet,0.085,0.0834,4.2468113966963505,4.046344901689074,0.20046649786474352,lenet,0.0874,0.0844,4.211846272037788,4.007146707312628,0.20469956926535815,lenet,0.0961,0.0976,4.209327806464651,4.014958434484222,0.19436937443573366,lenet,0.0667,0.0636,4.308336756107482,4.094514431601221,0.2138223246755925,9000000.0,0.0,36000000.0,144000000.0,1728000000.0
lenetx12_cifar100_K12_topo-ring_seed0004_d013,d013,lenet:12,cifar100,12,topology,topo-ring,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,1089312,4,0.1,2,23.25,0.08761666666666668,0.01335744694501494,0.06,0.1114,0.1224,0.03478333333333332,0.08864999999999999,0.1248,0.8028969696969697,0.3069352111550079,0.8078151515151515,0.3038585496656314,0.08761666666666668,lenet,0.0809,0.083,4.196527633816004,3.9763991748067467,0.22012846068140457,lenet,0.1015,0.1052,4.12684807757085,3.937824784693393,0.18902329104656185,lenet,0.0951,0.0952,4.1105048121376475,3.911332283169031,0.19917253802784465,lenet,0.1114,0.1004,4.116635227745229,3.913868373767896,0.20276685123628174,lenet,0.0834,0.0822,4.164614608003334,3.9522540714930403,0.21236054305071858,lenet,0.06,0.06,4.360780761661855,4.106205687265504,0.25457508343441243,lenet,0.0938,0.1036,4.199466832320798,3.9742618931288067,0.225204948335886,lenet,0.1028,0.1046,4.098504739051515,3.9235688346353443,0.17493590007705445,lenet,0.0837,0.081,4.206591909581965,3.986327989534898,0.22026392415335233,lenet,0.0813,0.0866,4.206135597079992,3.9754019982435485,0.23073359456082637,lenet,0.0819,0.0816,4.203254667195407,3.979964279315688,0.2232903861229054,lenet,0.0756,0.0804,4.298413708128712,4.051848959855058,0.2465647461781786,9000000.0,0.0,36000000.0,180000000.0,2160000000.0
lenetx12_cifar100_K12_topo-ring_seed0004_d013,d013,lenet:12,cifar100,12,topology,topo-ring,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,1089312,5,0.1,2,22.2,0.09685833333333332,0.014401531072154179,0.0603,0.1139,0.1343,0.03744166666666668,0.09494999999999999,0.126,0.7566939393939395,0.39993996987357155,0.7583909090909092,0.3967107250867966,0.09685833333333332,lenet,0.0934,0.0916,4.165699336339127,3.9339467364956033,0.23175259613939983,lenet,0.0938,0.0964,4.12576937540011,3.9200882623818787,0.20568111854266713,lenet,0.0885,0.0814,4.160316182131117,3.9420180435885084,0.21829814535819672,lenet,0.1139,0.1078,4.088414168831977,3.8764699890532275,0.21194418094290252,lenet,0.11,0.1014,4.1336746625602245,3.9221550781618464,0.21151958458887582,lenet,0.0603,0.0608,4.274283006448638,4.018997949294069,0.2552850651978092,lenet,0.0941,0.0948,4.162394020706415,3.92853475802324,0.23385926450348712,lenet,0.1107,0.1066,4.068278181959283,3.883949777619405,0.1843284044986252,lenet,0.0981,0.1002,4.181255420161919,3.9517784105105833,0.22947701037099416,lenet,0.1055,0.1008,4.201692914420908,3.96276378902522,0.2389291331849315,lenet,0.1097,0.11,4.164151714606718,3.9384741278534587,0.22567759331485088,lenet,0.0843,0.0876,4.2486712790348315,3.9936260130595076,0.2550452569160949,9000000.0,0.0,36000000.0,216000000.0,2592000000.0
lenetx12_cifar100_K12_topo-ring_seed0004_d013,d013,lenet:12,cifar100,12,topology,topo-ring,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,1089312,6,0.1,2,22.63,0.09806666666666665,0.01063103423420736,0.0771,0.1219,0.1399,0.04183333333333335,0.09783333333333333,0.1312,0.7683454545454544,0.366751281956486,0.7720439393939396,0.3711138893026318,0.09806666666666665,lenet,0.1016,0.104,4.169558152556419,3.9276640750467777,0.24189407935112037,lenet,0.0922,0.0868,4.101983232592994,3.8923177654770287,0.2096654655390673,lenet,0.0978,0.1032,4.139441019432112,3.9168246246197005,0.22261640037917954,lenet,0.1035,0.1028,4.074021792885932,3.8545589667152274,0.21946282634003597,lenet,0.101,0.0954,4.117449043826624,3.900269737975164,0.21717929926870222,lenet,0.0771,0.0798,4.269111960787665,4.007947877049446,0.2611640838017179,lenet,0.088,0.082,4.15384310179136,3.909261826425791,0.24458127900619397,lenet,0.1219,0.1236,4.067013926804066,3.8709776679223236,0.19603625706143,lenet,0.102,0.099,4.179288039153272,3.9379990988157014,0.24128892744722014,lenet,0.09,0.0978,4.2509353949942374,3.994967871768908,0.2559675233734941,lenet,0.1066,0.1062,4.147411116144874,3.9065845717083323,0.2408265379807827,lenet,0.0951,0.0934,4.23841649971225,3.9705733182755383,0.26784319121559913,9000000.0,0.0,36000000.0,252000000.0,3024000000.0
lenetx12_cifar100_K12_topo-ring_seed0004_d013,d013,lenet:12,cifar100,12,topology,topo-ring,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,1089312,7,0.1,2,22.72,0.087275,0.017710831196379992,0.0372,0.1164,0.123,0.03572499999999999,0.08975,0.1246,0.8259030303030303,0.3134412588231501,0.8330151515151515,0.318607542478428,0.087275,lenet,0.0829,0.0844,4.1673793545500795,3.913217643445188,0.25416171574033797,lenet,0.0932,0.0924,4.091458287767389,3.8715956878255713,0.21986260631291027,lenet,0.0904,0.0984,4.08598147908395,3.8621418049389664,0.2238396690862084,lenet,0.1164,0.1198,4.074428716505116,3.8468355533074248,0.22759315932423554,lenet,0.0791,0.082,4.132068245925686,3.9009294509887695,0.2311387947252528,lenet,0.0855,0.091,4.207876007665288,3.939978346905925,0.2678976633839987,lenet,0.0985,0.0974,4.166000633077188,3.9157903610982676,0.2502102804031562,lenet,0.0989,0.0998,4.064023317938501,3.8624659414318474,0.20155737553299827,lenet,0.0372,0.0396,4.15615818344734,3.910567776046016,0.2455904039511965,lenet,0.0909,0.095,4.181672671640461,3.9211373373188754,0.26053533235310833,lenet,0.0872,0.0892,4.132054152813825,3.884509564800696,0.2475445882882923,lenet,0.0871,0.088,4.225358242677017,3.9480049193582754,0.2773533136456866,9000000.0,0.0,36000000.0,288000000.0,3456000000.0
lenetx12_cifar100_K12_topo-ring_seed0004_d013,d013,lenet:12,cifar100,12,topology,topo-ring,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,1089312,8,0.1,2,22.4,0.09460833333333334,0.01417794404073532,0.067,0.1113,0.1334,0.038791666666666655,0.09358333333333334,0.134,0.793760606060606,0.33955189633098626,0.7995681818181815,0.35703343143522814,0.09460833333333334,lenet,0.1015,0.1012,4.143181618980386,3.884725478223779,0.25845614162443037,lenet,0.0735,0.0706,4.108136753805659,3.880392997102304,0.22774375386705453,lenet,0.1084,0.1124,4.0753498178991405,3.846319418061863,0.22903039477850226,lenet,0.1113,0.1102,4.052395292642442,3.8215634704313497,0.23083181996745142,lenet,0.098,0.0932,4.161586568775502,3.9274851737374608,0.23410139334472743,lenet,0.096,0.0974,4.175725763155655,3.9057202728634532,0.2700054963034662,lenet,0.1001,0.0992,4.1547330689023845,3.9023962088606576,0.2523368638093499,lenet,0.1029,0.1018,4.092352660880848,3.8865727128630336,0.2057799485681409,lenet,0.0856,0.0766,4.193848984485323,3.93912700292739,0.2547219794836234,lenet,0.0798,0.082,4.202290195971727,3.9339834976602686,0.2683066874954172,lenet,0.1112,0.108,4.125233805992386,3.8716355132108387,0.2535982917655598,lenet,0.067,0.0704,4.199662271887064,3.920018100941723,0.2796441693790257,9000000.0,0.0,36000000.0,324000000.0,3888000000.0
lenetx12_cifar100_K12_topo-ring_seed0004_d013,d013,lenet:12,cifar100,12,topology,topo-ring,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,ring,0.0,0.0,42,0,45000,5000,10000,1089312,9,0.1,2,22.09,0.10211666666666668,0.009862625861751469,0.0812,0.1168,0.1375,0.035383333333333336,0.1045,0.1348,0.7594727272727274,0.421967045418123,0.7635060606060605,0.42933400686967893,0.10211666666666668,lenet,0.1102,0.1184,4.131428534334356,3.8650490766899153,0.26637945616279135,lenet,0.1168,0.1168,4.0888858566229995,3.858494796197523,0.23039105741984464,lenet,0.1141,0.1136,4.057986691594124,3.8254718611186203,0.23251483288847588,lenet,0.1008,0.1006,4.049734702503139,3.8118319362401962,0.23790276677093722,lenet,0.0902,0.1004,4.149948174641891,3.9067441438409416,0.24320402997545898,lenet,0.0812,0.082,4.162304878573526,3.884610815143043,0.2776940676214343,lenet,0.1031,0.1062,4.140486121854999,3.8838218193162573,0.2566643016920848,lenet,0.1063,0.1078,4.054202900014141,3.846987214278091,0.20721568573604932,lenet,0.0915,0.0892,4.162790112874725,3.9059890769422054,0.256801041986116,lenet,0.1044,0.1102,4.1950819499113345,3.9239436719905245,0.27113827311603184,lenet,0.1067,0.105,4.094759697941217,3.8383438624441624,0.2564158388625153,lenet,0.1001,0.1038,4.212867574596947,3.925722513347864,0.287145061714744,9000000.0,0.0,36000000.0,360000000.0,4320000000.0
