run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_mobilenet,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,10,0.1,1,16.58,0.32715,0.06585000000000002,0.2613,0.393,0.3596,0.03244999999999998,0.3125,0.3422,0.5958,0.48601354028666727,0.5962,0.4902966550748617,0.2613,0.393,mobilenet,0.2613,0.2518,2.757642722265287,2.419236345385963,0.3384063766676594,resnet32,0.393,0.3732,2.5522727631032467,2.2091211160136894,0.3431516482113776,4500000.0,0.0,18000000.0,198000000.0,396000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,11,0.1,1,16.79,0.33975,0.053549999999999986,0.2862,0.3933,0.3947,0.05495,0.33630000000000004,0.3872,0.659,0.42172906565310403,0.6587,0.44539699501948743,0.2862,0.3933,mobilenet,0.2862,0.2812,2.7322546460411767,2.388320875946771,0.34393376850692386,resnet32,0.3933,0.3914,2.5216279893436213,2.17271024141122,0.3489177487367256,4500000.0,0.0,18000000.0,216000000.0,432000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,12,0.1,1,16.74,0.2672,0.003599999999999992,0.2636,0.2708,0.3005,0.033299999999999996,0.2669,0.3028,0.7486,0.38242876445588453,0.7557,0.4030825291232696,0.2708,0.2636,mobilenet,0.2708,0.2732,2.697285734117031,2.3470118794251573,0.3502738518555733,resnet32,0.2636,0.2606,2.4983625947074457,2.142465337772261,0.3558972552418709,4500000.0,0.0,18000000.0,234000000.0,468000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,13,0.1,1,16.64,0.3361,0.0039000000000000146,0.3322,0.34,0.3662,0.030100000000000016,0.33030000000000004,0.3576,0.594,0.5149622509097617,0.5942,0.5093808748296494,0.3322,0.34,mobilenet,0.3322,0.328,2.6873642470348966,2.3350741748105395,0.3522900709543716,resnet32,0.34,0.3326,2.4786721434105528,2.1202590577304363,0.35841309135271743,4500000.0,0.0,18000000.0,252000000.0,504000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,14,0.1,1,16.57,0.33585,0.04385,0.292,0.3797,0.3842,0.048350000000000004,0.32989999999999997,0.3786,0.6044,0.4659168210202608,0.5979,0.492278581707892,0.292,0.3797,mobilenet,0.292,0.2848,2.6663552668284285,2.3122796910730274,0.35407557226294145,resnet32,0.3797,0.375,2.4541050625795666,2.0942968619479374,0.35980819595385005,4500000.0,0.0,18000000.0,270000000.0,540000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,15,0.1,1,16.57,0.36114999999999997,0.02714999999999998,0.334,0.3883,0.4046,0.043450000000000044,0.35450000000000004,0.3976,0.602,0.4945231021535159,0.606,0.47336565638892386,0.334,0.3883,mobilenet,0.334,0.3316,2.64917103218084,2.290968907827681,0.35820212291384285,resnet32,0.3883,0.3774,2.4395059137181803,2.0759307576174084,0.3635751561431045,4500000.0,0.0,18000000.0,288000000.0,576000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,16,0.1,1,16.87,0.35125,0.03875000000000001,0.3125,0.39,0.3905,0.03925000000000001,0.3466,0.3826,0.5934,0.508123638341546,0.5876,0.5158614489438761,0.3125,0.39,mobilenet,0.3125,0.308,2.6497635831209747,2.286864060400562,0.3628995190374553,resnet32,0.39,0.3852,2.425276916982098,2.0558123788373037,0.369464537425136,4500000.0,0.0,18000000.0,306000000.0,612000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,17,0.1,1,16.27,0.39744999999999997,0.03945000000000001,0.358,0.4369,0.4372,0.03975000000000001,0.3933,0.4302,0.5368,0.5243011151281483,0.5336,0.531940053347791,0.358,0.4369,mobilenet,0.358,0.3512,2.6337582418187098,2.270152325657281,0.3636059223843569,resnet32,0.4369,0.4354,2.4172467210076074,2.0472457004203037,0.370001021518626,4500000.0,0.0,18000000.0,324000000.0,648000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,18,0.1,1,16.52,0.35945,0.05225000000000002,0.3072,0.4117,0.4182,0.058750000000000024,0.35950000000000004,0.4192,0.6428,0.40171781827925135,0.6402,0.4185399796197674,0.3072,0.4117,mobilenet,0.3072,0.3148,2.609576593407176,2.2425071614032444,0.36706943230026146,resnet32,0.4117,0.4042,2.388436865738847,2.0148699732328,0.3735668901777403,4500000.0,0.0,18000000.0,342000000.0,684000000.0
mobilenetx1-resnet32x1_cifar100_K2_dml_seed0002_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,dml,dml,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,19,0.1,1,16.72,0.37229999999999996,0.036900000000000016,0.3354,0.4092,0.4198,0.04750000000000004,0.36419999999999997,0.407,0.6364,0.44760614557903855,0.639,0.42627023194761343,0.3354,0.4092,mobilenet,0.3354,0.3206,2.620518849654631,2.2501141660931436,0.37040468445047736,resnet32,0.4092,0.4078,2.395291105590083,2.0177243290977045,0.37756677727553656,4500000.0,0.0,18000000.0,360000000.0,720000000.0
