run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,10,0.1,1,18.74,0.29275,0.0019500000000000073,0.2908,0.2947,0.3098,0.01705000000000001,0.2815,0.2946,0.4832,0.631803265071846,0.4724,0.654462391727109,0.29275,resnet32,0.2947,0.2854,2.6473991254513916,2.435507966882803,0.21189115547829054,resnet32,0.2908,0.2776,2.553611289032481,2.338211366737431,0.21539992166005753,4500000.0,0.0,18000000.0,198000000.0,396000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,11,0.1,1,18.77,0.34199999999999997,0.021200000000000024,0.3208,0.3632,0.3615,0.019500000000000017,0.3336,0.3522,0.463,0.6306386422590275,0.4565,0.6387259893044014,0.34199999999999997,resnet32,0.3208,0.314,2.5882403193549677,2.367766749113798,0.22047356681220912,resnet32,0.3632,0.3532,2.5016219146888363,2.2775702491741288,0.22405166528187692,4500000.0,0.0,18000000.0,216000000.0,432000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,12,0.1,1,18.92,0.33975,0.00014999999999998348,0.3396,0.3399,0.3597,0.019950000000000023,0.3291,0.3414,0.4712,0.6272712702680282,0.4753,0.6244205433866818,0.33975,resnet32,0.3399,0.3306,2.5311630933799525,2.3022927323525604,0.22887035882608456,resnet32,0.3396,0.3276,2.453133413906802,2.2209998547014864,0.23213355700400742,4500000.0,0.0,18000000.0,234000000.0,468000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,13,0.1,1,18.91,0.31595,0.014950000000000019,0.301,0.3309,0.3322,0.016249999999999987,0.31279999999999997,0.3294,0.4726,0.6538210947757555,0.4757,0.6509652537798536,0.31595,resnet32,0.301,0.3028,2.4987956810403955,2.263635950671001,0.23515972893007778,resnet32,0.3309,0.3228,2.422386648641391,2.1835255167362364,0.23886113647710194,4500000.0,0.0,18000000.0,252000000.0,504000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,14,0.1,1,19.31,0.35,0.01949999999999999,0.3305,0.3695,0.3698,0.01980000000000004,0.34199999999999997,0.3632,0.4742,0.6402509035358621,0.4726,0.6403163951027553,0.35,resnet32,0.3305,0.323,2.4569384494627062,2.2120259543034164,0.2449124956884506,resnet32,0.3695,0.361,2.381577140397646,2.1327649774876507,0.24881216235966844,4500000.0,0.0,18000000.0,270000000.0,540000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,15,0.1,1,18.94,0.37605,0.02074999999999999,0.3553,0.3968,0.3975,0.021450000000000025,0.3738,0.3992,0.4534,0.6122714575627505,0.4488,0.6223248817072649,0.37605,resnet32,0.3553,0.349,2.436862766234712,2.189672042192383,0.2471907231745056,resnet32,0.3968,0.3986,2.3613677868111567,2.1104843875562604,0.2508834015197036,4500000.0,0.0,18000000.0,288000000.0,576000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,16,0.1,1,19.02,0.33430000000000004,0.001700000000000007,0.3326,0.336,0.3586,0.024299999999999933,0.3228,0.3492,0.4946,0.5782256965116613,0.4835,0.5942592582862565,0.33430000000000004,resnet32,0.336,0.3226,2.411906709047881,2.159927900880575,0.2519788089716299,resnet32,0.3326,0.323,2.330628926781091,2.074615243314342,0.256013680418784,4500000.0,0.0,18000000.0,306000000.0,612000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,17,0.1,1,18.37,0.36665000000000003,0.03335000000000002,0.3333,0.4,0.3963,0.029649999999999954,0.3619,0.3916,0.5386,0.547083821682713,0.5418,0.5554825826142405,0.36665000000000003,resnet32,0.3333,0.3296,2.3920915309678423,2.1347214144400577,0.25737011654895137,resnet32,0.4,0.3942,2.3154853054068307,2.0539661701768637,0.261519135737961,4500000.0,0.0,18000000.0,324000000.0,648000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,18,0.1,1,19.11,0.35835,0.02084999999999998,0.3375,0.3792,0.3897,0.03134999999999999,0.34740000000000004,0.3716,0.5262,0.5721500792140911,0.5313,0.5702093002130977,0.35835,resnet32,0.3375,0.332,2.363722463900393,2.1016401968557727,0.262082267891277,resnet32,0.3792,0.3628,2.2899446831169454,2.0233045061203567,0.2666401762345975,4500000.0,0.0,18000000.0,342000000.0,684000000.0
resnet32x2_cifar100_K2_dml_seed0005_d001,d001,resnet32:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,19,0.1,1,18.73,0.38295,0.0026499999999999857,0.3803,0.3856,0.4119,0.028949999999999976,0.38349999999999995,0.4076,0.4842,0.5826122911482379,0.4915,0.5829932221257452,0.38295,resnet32,0.3803,0.3868,2.3475802154703573,2.08547392741523,0.26210628816095943,resnet32,0.3856,0.3802,2.2806561646813694,2.0148073969916864,0.2658487730024552,4500000.0,0.0,18000000.0,360000000.0,720000000.0
