run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_mobilenet,avg_test_acc_wrn28x10,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,10,0.1,0,32.49,0.34395,0.023650000000000004,0.3203,0.3676,0.4168,0.07285000000000003,0.3325,0.4006,0.7278,0.3069804467645386,0.7086,0.3376378560442267,0.3203,0.3676,wrn28x10,0.3676,0.3548,1.7409180499274621,1.7409180499274621,0.0,mobilenet,0.3203,0.3102,2.523767310787331,2.523767310787331,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,11,0.1,0,32.86,0.3434,0.0781,0.2653,0.4215,0.4264,0.08300000000000002,0.34409999999999996,0.4204,0.735,0.3253957216723259,0.742,0.34574766750756086,0.2653,0.4215,wrn28x10,0.4215,0.4042,1.702330761843107,1.702330761843107,0.0,mobilenet,0.2653,0.284,2.46960491145199,2.46960491145199,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,12,0.1,0,32.73,0.312,0.006500000000000006,0.3055,0.3185,0.3573,0.04530000000000001,0.3079,0.3462,0.762,0.3223445727053254,0.7587,0.3308401913954178,0.3185,0.3055,wrn28x10,0.3055,0.2936,1.6752650366080077,1.6752650366080077,0.0,mobilenet,0.3185,0.3222,2.46685427816754,2.46685427816754,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,13,0.1,0,32.45,0.37285,0.08255000000000001,0.2903,0.4554,0.4569,0.08404999999999996,0.3745,0.456,0.6864,0.3712158757814432,0.6876,0.3773457295243312,0.2903,0.4554,wrn28x10,0.4554,0.4592,1.6568175847218796,1.6568175847218796,0.0,mobilenet,0.2903,0.2898,2.456258684904738,2.456258684904738,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,14,0.1,0,32.39,0.3261,0.053200000000000025,0.2729,0.3793,0.3996,0.07350000000000001,0.3247,0.3962,0.707,0.34050224061165446,0.7094,0.34694976825411805,0.2729,0.3793,wrn28x10,0.3793,0.3806,1.6422830132598227,1.6422830132598227,0.0,mobilenet,0.2729,0.2688,2.435686156661673,2.435686156661673,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,15,0.1,0,32.66,0.32925000000000004,0.02235000000000001,0.3069,0.3516,0.37,0.04074999999999995,0.33099999999999996,0.3806,0.6882,0.4302990766046799,0.6882,0.4281949538572866,0.3069,0.3516,wrn28x10,0.3516,0.3656,1.6244963820685039,1.6244963820685039,0.0,mobilenet,0.3069,0.2964,2.4274535571986977,2.4274535571986977,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,16,0.1,0,32.83,0.35655000000000003,0.034649999999999986,0.3219,0.3912,0.425,0.06844999999999996,0.3554,0.42,0.7148,0.32659149741625476,0.7128,0.34066256209819595,0.3219,0.3912,wrn28x10,0.3912,0.3886,1.609159699387171,1.609159699387171,0.0,mobilenet,0.3219,0.3222,2.4126818379895254,2.4126818379895254,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,17,0.1,0,32.86,0.3738,0.06420000000000001,0.3096,0.438,0.4468,0.07299999999999995,0.3655,0.444,0.6832,0.3572113645483386,0.6881,0.35833594609083486,0.3096,0.438,wrn28x10,0.438,0.435,1.5916941298002547,1.5916941298002547,0.0,mobilenet,0.3096,0.296,2.398842751471834,2.398842751471834,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,18,0.1,0,32.82,0.36395,0.06255,0.3014,0.4265,0.4455,0.08155000000000001,0.3634,0.4404,0.7108,0.33349632799793827,0.7088,0.35318894104344495,0.3014,0.4265,wrn28x10,0.4265,0.4324,1.581160095943646,1.581160095943646,0.0,mobilenet,0.3014,0.2944,2.388891662894325,2.388891662894325,0.0,0.0,0.0,0.0,0.0,0.0
wrn28x10x1-mobilenetx1_cifar100_K2_indep_seed0003_d001,d001,"wrn28x10:1,mobilenet:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,39846360,19,0.1,0,32.69,0.37925,0.06105000000000002,0.3182,0.4403,0.4622,0.08295000000000002,0.3718,0.4518,0.706,0.3406698857540568,0.7052,0.33602461861566374,0.3182,0.4403,wrn28x10,0.4403,0.4306,1.5708110766823997,1.5708110766823997,0.0,mobilenet,0.3182,0.313,2.3904829040508377,2.3904829040508377,0.0,0.0,0.0,0.0,0.0,0.0
