run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
resnet32x2_cifar100_K2_indep_seed0002_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,0,0.1,0,21.25,0.10175000000000001,0.026250000000000002,0.0755,0.128,0.1295,0.027749999999999997,0.1031,0.1244,0.7622,0.34938546712415125,0.7697,0.3266967815125748,0.10175000000000001,resnet32,0.128,0.1276,4.168117697266015,4.168117697266015,0.0,resnet32,0.0755,0.0786,4.370645610784942,4.370645610784942,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0002_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,1,0.1,0,18.15,0.1488,0.002999999999999989,0.1458,0.1518,0.1612,0.012400000000000022,0.1557,0.1698,0.6312,0.5355629108108337,0.6425,0.5090936355819662,0.1488,resnet32,0.1458,0.1514,3.5027434700591997,3.5027434700591997,0.0,resnet32,0.1518,0.16,3.63025503707203,3.63025503707203,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0002_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,2,0.1,0,18.41,0.20534999999999998,0.013950000000000004,0.1914,0.2193,0.2172,0.011850000000000027,0.1958,0.2106,0.5796,0.5859635001917805,0.5871,0.5733282192917092,0.20534999999999998,resnet32,0.2193,0.2146,3.1603892133994536,3.1603892133994536,0.0,resnet32,0.1914,0.177,3.217327210374854,3.217327210374854,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0002_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,3,0.1,0,20.91,0.24814999999999998,0.025050000000000003,0.2231,0.2732,0.2713,0.023150000000000004,0.2433,0.2686,0.601,0.5236185396177776,0.5921,0.5382250601782781,0.24814999999999998,resnet32,0.2732,0.2704,2.8861721967431633,2.8861721967431633,0.0,resnet32,0.2231,0.2162,2.9095370088788597,2.9095370088788597,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0002_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,4,0.1,0,21.43,0.26039999999999996,0.009800000000000003,0.2506,0.2702,0.2842,0.023800000000000043,0.2544,0.272,0.5482,0.5666016396690133,0.553,0.556998084706139,0.26039999999999996,resnet32,0.2702,0.2644,2.693596714260903,2.693596714260903,0.0,resnet32,0.2506,0.2444,2.7013862644406883,2.7013862644406883,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0002_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,5,0.1,0,20.88,0.3195,0.0010999999999999899,0.3184,0.3206,0.3472,0.027700000000000002,0.3098,0.3386,0.5648,0.5576858337267635,0.5624,0.5616869825782241,0.3195,resnet32,0.3206,0.3134,2.574267581443895,2.574267581443895,0.0,resnet32,0.3184,0.3062,2.558124090121551,2.558124090121551,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0002_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,6,0.1,0,21.21,0.32605,0.006950000000000012,0.3191,0.333,0.3557,0.02965000000000001,0.3246,0.3476,0.5358,0.5667455607845823,0.5427,0.5778396844655661,0.32605,resnet32,0.3191,0.3216,2.502494239671664,2.502494239671664,0.0,resnet32,0.333,0.3276,2.462976075539535,2.462976075539535,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0002_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,7,0.1,0,21.51,0.32994999999999997,0.004150000000000015,0.3258,0.3341,0.3633,0.033350000000000046,0.3246,0.3514,0.5736,0.5292722046947356,0.5687,0.5213496709102821,0.32994999999999997,resnet32,0.3341,0.3244,2.4410973252220587,2.4410973252220587,0.0,resnet32,0.3258,0.3248,2.3636684112928132,2.3636684112928132,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0002_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,8,0.1,0,21.5,0.34735,0.0034500000000000086,0.3439,0.3508,0.37,0.022650000000000003,0.3442,0.3688,0.534,0.5667320378532669,0.5376,0.5609574945432863,0.34735,resnet32,0.3508,0.3442,2.3808038764717905,2.3808038764717905,0.0,resnet32,0.3439,0.3442,2.279808559878306,2.279808559878306,0.0,0.0,0.0,0.0,0.0,0.0
resnet32x2_cifar100_K2_indep_seed0002_d001,d001,resnet32:2,cifar100,2,indep,indep,peers,2,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,940008,9,0.1,0,19.37,0.3338,0.004799999999999999,0.329,0.3386,0.3651,0.031299999999999994,0.32620000000000005,0.3562,0.5842,0.5032308859408161,0.5912,0.49831886756284166,0.3338,resnet32,0.329,0.3148,2.3400138171220366,2.3400138171220366,0.0,resnet32,0.3386,0.3376,2.2168043523349543,2.2168043523349543,0.0,0.0,0.0,0.0,0.0,0.0
