run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_mobilenet,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,10,0.1,0,15.29,0.1855,0.01880000000000001,0.1667,0.2043,0.2064,0.020900000000000002,0.187,0.2128,0.7944,0.38123765238018864,0.7948,0.40022950911140903,0.1855,mobilenet,0.1667,0.1702,2.554390995847908,2.554390995847908,0.0,mobilenet,0.2043,0.2038,2.5419389835812827,2.5419389835812827,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,11,0.1,0,15.26,0.25915,0.012749999999999984,0.2464,0.2719,0.2845,0.025349999999999984,0.25329999999999997,0.2746,0.6298,0.4969369196002742,0.6351,0.5017663021335877,0.25915,mobilenet,0.2719,0.2672,2.530839800495993,2.530839800495993,0.0,mobilenet,0.2464,0.2394,2.505472650074146,2.505472650074146,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,12,0.1,0,16.07,0.2706,0.028200000000000003,0.2424,0.2988,0.3122,0.04159999999999997,0.2693,0.3058,0.717,0.38121297463674425,0.7149,0.3852626773895892,0.2706,mobilenet,0.2424,0.2382,2.500539029694416,2.500539029694416,0.0,mobilenet,0.2988,0.3004,2.4824829931286247,2.4824829931286247,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,13,0.1,0,14.54,0.2918,0.02300000000000002,0.2688,0.3148,0.3265,0.03470000000000001,0.28200000000000003,0.3136,0.6862,0.4427546592007896,0.6831,0.44915612208325734,0.2918,mobilenet,0.3148,0.3006,2.4859524360773237,2.4859524360773237,0.0,mobilenet,0.2688,0.2634,2.4745111037045717,2.4745111037045717,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,14,0.1,0,14.44,0.27535,0.010050000000000003,0.2653,0.2854,0.3135,0.03815000000000002,0.27080000000000004,0.3172,0.7498,0.37618116630003995,0.7475,0.3800947193687443,0.27535,mobilenet,0.2653,0.2676,2.460606448521668,2.460606448521668,0.0,mobilenet,0.2854,0.274,2.454581185498021,2.454581185498021,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,15,0.1,0,14.87,0.3173,0.01880000000000001,0.2985,0.3361,0.3564,0.03909999999999997,0.3157,0.357,0.6266,0.5024352037025921,0.6269,0.48702375809030085,0.3173,mobilenet,0.3361,0.3314,2.445527581498027,2.445527581498027,0.0,mobilenet,0.2985,0.3,2.446930181743069,2.446930181743069,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,16,0.1,0,15.33,0.29085000000000005,0.014350000000000002,0.2765,0.3052,0.3307,0.03984999999999994,0.28390000000000004,0.3246,0.7052,0.43427081356228037,0.7086,0.4321758849826105,0.29085000000000005,mobilenet,0.2765,0.2634,2.4347488841211256,2.4347488841211256,0.0,mobilenet,0.3052,0.3044,2.4216816284778444,2.4216816284778444,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,17,0.1,0,14.62,0.29879999999999995,0.009899999999999992,0.2889,0.3087,0.3371,0.038300000000000056,0.2959,0.3332,0.6924,0.4189774932255924,0.6967,0.4303917618707627,0.29879999999999995,mobilenet,0.3087,0.3084,2.4321868351914664,2.4321868351914664,0.0,mobilenet,0.2889,0.2834,2.4164396079087798,2.4164396079087798,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,18,0.1,0,14.31,0.29385,0.020550000000000013,0.2733,0.3144,0.3298,0.03594999999999998,0.2874,0.325,0.6614,0.46994737209698373,0.6796,0.440655531329828,0.29385,mobilenet,0.2733,0.2678,2.4150286321951584,2.4150286321951584,0.0,mobilenet,0.3144,0.307,2.407788695936853,2.407788695936853,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx2_cifar100_K2_indep_seed0004_d001,d001,mobilenet:2,cifar100,2,indep,indep,peers,4,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,6618952,19,0.1,0,14.29,0.2995,0.006000000000000005,0.2935,0.3055,0.3409,0.04139999999999999,0.294,0.3362,0.6942,0.4229516417685358,0.6837,0.43878794500837054,0.2995,mobilenet,0.3055,0.298,2.4138094542378727,2.4138094542378727,0.0,mobilenet,0.2935,0.29,2.394030138172887,2.394030138172887,0.0,0.0,0.0,0.0,0.0,0.0
