run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_wrn28x10,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
wrn28x10x2_cifar100_K2_dml_seed0005_d001,d001,wrn28x10:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,73073768,0,0.1,1,57.9,0.1325,0.004500000000000004,0.128,0.137,0.1351,0.002599999999999991,0.125,0.1272,0.3222,0.756805416788841,0.3258,0.7726947402863942,0.1325,wrn28x10,0.128,0.1246,3.677687890488993,3.636120616035028,0.04156727317868816,wrn28x10,0.137,0.1254,3.687570908191529,3.6460151587697593,0.04155575590663251,4500000.0,0.0,18000000.0,18000000.0,36000000.0
wrn28x10x2_cifar100_K2_dml_seed0005_d001,d001,wrn28x10:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,73073768,1,0.1,1,55.48,0.118,0.043899999999999995,0.0741,0.1619,0.1202,0.0022000000000000075,0.12129999999999999,0.1228,0.6174,0.49593926748006134,0.6082,0.493371147815767,0.118,wrn28x10,0.1619,0.1594,2.894072238017212,2.833705843510953,0.06036639163291759,wrn28x10,0.0741,0.0832,2.9012066024270924,2.8408108316361904,0.06039576994953677,4500000.0,0.0,18000000.0,36000000.0,72000000.0
wrn28x10x2_cifar100_K2_dml_seed0005_d001,d001,wrn28x10:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,73073768,2,0.1,1,55.2,0.26885,0.02414999999999999,0.2447,0.293,0.2837,0.01485000000000003,0.2671,0.287,0.4998,0.6087231543665599,0.5007,0.6081872351974857,0.26885,wrn28x10,0.293,0.2832,2.553196321156892,2.459233137186278,0.09396318592850796,wrn28x10,0.2447,0.251,2.563019758937034,2.4691895102574066,0.09383024576924402,4500000.0,0.0,18000000.0,54000000.0,108000000.0
wrn28x10x2_cifar100_K2_dml_seed0005_d001,d001,wrn28x10:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,73073768,3,0.1,1,55.26,0.25860000000000005,0.007300000000000001,0.2513,0.2659,0.2715,0.012899999999999967,0.2589,0.2732,0.5242,0.6380304307162271,0.5255,0.6401539858195641,0.25860000000000005,wrn28x10,0.2513,0.254,2.361087884076617,2.232057447121902,0.12903044029900973,wrn28x10,0.2659,0.2638,2.3650682180781257,2.23618452928283,0.12888369197025895,4500000.0,0.0,18000000.0,72000000.0,144000000.0
wrn28x10x2_cifar100_K2_dml_seed0005_d001,d001,wrn28x10:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,73073768,4,0.1,1,55.2,0.31675,0.027249999999999996,0.2895,0.344,0.3327,0.01595000000000002,0.3147,0.3338,0.4632,0.6308540460957089,0.4568,0.6336265451514468,0.31675,wrn28x10,0.2895,0.2862,2.235035878690806,2.0725635015829043,0.16247237439859996,wrn28x10,0.344,0.3432,2.2383877364071934,2.076293836601756,0.16209390112833882,4500000.0,0.0,18000000.0,90000000.0,180000000.0
wrn28x10x2_cifar100_K2_dml_seed0005_d001,d001,wrn28x10:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,73073768,5,0.1,1,55.5,0.35009999999999997,0.025400000000000006,0.3247,0.3755,0.3712,0.021100000000000008,0.3458,0.3648,0.4834,0.6087077300306788,0.4876,0.5873033572196286,0.35009999999999997,wrn28x10,0.3247,0.326,2.157418643209067,1.9707619063556194,0.1866567406422374,wrn28x10,0.3755,0.3656,2.1553791627626526,1.9686107047918169,0.1867684574522586,4500000.0,0.0,18000000.0,108000000.0,216000000.0
wrn28x10x2_cifar100_K2_dml_seed0005_d001,d001,wrn28x10:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,73073768,6,0.1,1,55.45,0.3594,0.022699999999999998,0.3367,0.3821,0.379,0.019600000000000006,0.3519,0.3716,0.5432,0.540760838180103,0.5535,0.5371606262103193,0.3594,wrn28x10,0.3367,0.3334,2.091754436831583,1.8868355412374844,0.204918895276602,wrn28x10,0.3821,0.3704,2.0952648474750193,1.8910215612162242,0.20424328909509562,4500000.0,0.0,18000000.0,126000000.0,252000000.0
wrn28x10x2_cifar100_K2_dml_seed0005_d001,d001,wrn28x10:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,73073768,7,0.1,1,55.21,0.37455,0.059350000000000014,0.3152,0.4339,0.4011,0.026550000000000018,0.3684,0.3952,0.5422,0.5196222745288795,0.5343,0.5365036148016702,0.37455,wrn28x10,0.3152,0.305,2.0316931767897173,1.8135041430253873,0.2181890339548276,wrn28x10,0.4339,0.4318,2.040897685526447,1.8230980663475664,0.21779962061819705,4500000.0,0.0,18000000.0,144000000.0,288000000.0
wrn28x10x2_cifar100_K2_dml_seed0005_d001,d001,wrn28x10:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,73073768,8,0.1,1,55.58,0.40325,0.017749999999999988,0.3855,0.421,0.4336,0.030349999999999988,0.4012,0.4236,0.4746,0.5935534571870552,0.4802,0.5855372418213505,0.40325,wrn28x10,0.421,0.4196,1.9986983327703043,1.767997362058271,0.23070097020403904,wrn28x10,0.3855,0.3828,2.003209341148084,1.772502101449804,0.23070723878812383,4500000.0,0.0,18000000.0,162000000.0,324000000.0
wrn28x10x2_cifar100_K2_dml_seed0005_d001,d001,wrn28x10:2,cifar100,2,dml,dml,peers,5,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,73073768,9,0.1,1,55.27,0.3978,0.010599999999999998,0.3872,0.4084,0.4304,0.03260000000000002,0.3913,0.4186,0.5362,0.5583004753573938,0.549,0.539472510123536,0.3978,wrn28x10,0.4084,0.4048,1.9623967741023411,1.7174084047702225,0.24498837369240142,wrn28x10,0.3872,0.3778,1.9662441795861179,1.720919401130893,0.245324776253917,4500000.0,0.0,18000000.0,180000000.0,360000000.0
