run_id,run_tag,cohort,dataset,K,arm,arm_label,target,seed,epochs,batch_size,base_lr,momentum,weight_decay,nesterov,graph_seed,lr_step,lr_gamma,kd_T,k_matchings,k_anneal,match_weight,kappa,rematch_every_epochs,recency_lambda,recency_gamma,peel_weighting,graph,label_noise_rate,actual_noise_rate,noise_seed,split_seed,n_train,n_valid,n_test,cohort_params,epoch,lr,k_current,epoch_seconds,avg_test_acc,std_test_acc,min_test_acc,max_test_acc,ensemble_test_acc,ens_minus_avg_test,avg_val_acc,ensemble_val_acc,disagreement_val,rho_val,disagreement_test,rho_test,avg_test_acc_mobilenet,avg_test_acc_resnet32,model_00_arch,model_00_test_acc,model_00_val_acc,model_00_train_loss,model_00_ce_loss,model_00_kd_loss,model_01_arch,model_01_test_acc,model_01_val_acc,model_01_train_loss,model_01_ce_loss,model_01_kd_loss,comm_logit_floats_epoch,comm_matcher_ints_epoch,comm_bytes_epoch,comm_bytes_cum,comm_bytes_cum_cohort
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,10,0.1,0,16.61,0.32235,0.034749999999999975,0.2876,0.3571,0.3857,0.06334999999999996,0.3155,0.3688,0.7116,0.3666472269497719,0.7192,0.3762328330333748,0.2876,0.3571,mobilenet,0.2876,0.288,2.519000418992205,2.519000418992205,0.0,resnet32,0.3571,0.343,2.041062395511703,2.041062395511703,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,11,0.1,0,18.23,0.3579,0.05070000000000002,0.3072,0.4086,0.4136,0.05570000000000003,0.3501,0.3964,0.6338,0.4581307415095262,0.6338,0.4549703086868479,0.3072,0.4086,mobilenet,0.3072,0.3032,2.483074723827568,2.483074723827568,0.0,resnet32,0.4086,0.397,1.9991054609417915,1.9991054609417915,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,12,0.1,0,17.43,0.31055,0.03544999999999998,0.2751,0.346,0.3495,0.038949999999999985,0.3026,0.3424,0.7132,0.37935581119553935,0.7163,0.3785541031901977,0.2751,0.346,mobilenet,0.2751,0.272,2.4676192604344,2.4676192604344,0.0,resnet32,0.346,0.3332,1.9770045847716657,1.9770045847716657,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,13,0.1,0,17.04,0.3371,0.06709999999999999,0.27,0.4042,0.3947,0.057599999999999985,0.3238,0.3808,0.6928,0.38755133236777206,0.6906,0.4033008524029719,0.27,0.4042,mobilenet,0.27,0.269,2.445223726501519,2.445223726501519,0.0,resnet32,0.4042,0.3786,1.957195551388643,1.957195551388643,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,14,0.1,0,17.53,0.37505,0.04125000000000001,0.3338,0.4163,0.4303,0.05525000000000002,0.3699,0.43,0.6272,0.4301090269696857,0.6273,0.43637683056404103,0.3338,0.4163,mobilenet,0.3338,0.3292,2.4403339226476173,2.4403339226476173,0.0,resnet32,0.4163,0.4106,1.9440482529726895,1.9440482529726895,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,15,0.1,0,16.96,0.3553,0.0691,0.2862,0.4244,0.4142,0.05890000000000001,0.3463,0.4056,0.67,0.40152587162392867,0.6736,0.4088596427244523,0.2862,0.4244,mobilenet,0.2862,0.2776,2.429588370194489,2.429588370194489,0.0,resnet32,0.4244,0.415,1.93001688525758,1.93001688525758,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,16,0.1,0,17.18,0.30605,0.035650000000000015,0.2704,0.3417,0.3579,0.05185000000000001,0.3045,0.3624,0.7296,0.3831968360752751,0.7422,0.35034958706523234,0.2704,0.3417,mobilenet,0.2704,0.2626,2.4143697321414948,2.4143697321414948,0.0,resnet32,0.3417,0.3464,1.9182461945509368,1.9182461945509368,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,17,0.1,0,17.49,0.3164,0.07479999999999999,0.2416,0.3912,0.3799,0.0635,0.3039,0.3644,0.7388,0.3287356763631323,0.7335,0.3527370521679771,0.2416,0.3912,mobilenet,0.2416,0.233,2.4025240086696367,2.4025240086696367,0.0,resnet32,0.3912,0.3748,1.8981785616752775,1.8981785616752775,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,18,0.1,0,17.53,0.3263,0.08319999999999998,0.2431,0.4095,0.4043,0.07800000000000001,0.3234,0.3918,0.739,0.33717413574604516,0.7357,0.361962462242538,0.2431,0.4095,mobilenet,0.2431,0.2444,2.38638380356133,2.38638380356133,0.0,resnet32,0.4095,0.4024,1.893540958789262,1.893540958789262,0.0,0.0,0.0,0.0,0.0,0.0
mobilenetx1-resnet32x1_cifar100_K2_indep_seed0003_d001,d001,"mobilenet:1,resnet32:1",cifar100,2,indep,indep,peers,3,200,64,0.1,0.9,0.0005,True,0,60,0.1,1.0,1,,disagreement,1.0,1,0.0,0.5,weight,complete,0.0,0.0,42,0,45000,5000,10000,3779480,19,0.1,0,18.19,0.3417,0.0693,0.2724,0.411,0.4156,0.07390000000000002,0.3363,0.4074,0.7354,0.3125126216720657,0.7295,0.3152063606575611,0.2724,0.411,mobilenet,0.2724,0.2714,2.388615772466768,2.388615772466768,0.0,resnet32,0.411,0.4012,1.8953995306722142,1.8953995306722142,0.0,0.0,0.0,0.0,0.0,0.0
